,City,Lat,Long,Temp,Cloud,Wind,Humidity
0,dikson,73.51,80.55,36.25,20,7.09,97
1,castro,-42.48,-73.76,46.24,92,9.44,98
2,vestmannaeyjar,63.44,-20.27,47.59,48,11.79,95
3,paracuru,-3.41,-39.03,80.6,40,9.17,74
4,khatanga,71.98,102.47,56.77,64,18.61,95
5,hobart,-42.88,147.33,39.2,0,9.17,93
6,baikunthpur,23.26,82.56,76.21,44,3.85,88
7,port alfred,-33.59,26.89,70.45,56,12.46,61
8,ribeira grande,38.52,-28.7,75.2,20,8.05,78
11,ushuaia,-54.81,-68.31,32.59,40,3.36,80
12,kaitangata,-46.28,169.85,45.79,68,18.05,92
13,kuopio,62.89,27.68,64.4,0,4.7,72
14,mount isa,-20.73,139.49,57.2,0,10.29,50
15,mataura,-46.19,168.86,45.88,92,13.24,94
16,bethel,60.79,-161.76,55.4,90,14.99,71
18,yellowknife,62.45,-114.38,53.6,90,12.75,93
19,nisia floresta,-6.09,-35.21,80.6,20,14.99,69
20,tongliao,43.61,122.27,61.27,8,5.64,92
21,sitka,37.17,-99.65,96.19,0,16.26,47
22,arraial do cabo,-22.97,-42.02,79.68,0,4.7,74
23,pangoa,-12.12,-73,75.85,8,2.62,68
24,pevek,69.7,170.27,32.65,44,5.08,98
25,busselton,-33.64,115.35,61.99,92,21.52,100
26,new norfolk,-42.78,147.06,39.2,0,9.17,93
28,faanui,-16.48,-151.75,80.89,48,13.35,100
30,vaini,15.34,74.49,68.11,100,6.2,99
31,nikolskoye,59.7,30.79,60.8,0,4.47,63
32,praia da vitoria,38.73,-27.07,75.2,20,7.99,78
33,chulym,55.09,80.97,63.07,64,6.98,89
34,tasiilaq,65.61,-37.64,42.8,64,1.12,81
35,hermanus,-34.42,19.24,50.56,36,7.09,83
37,narasapur,16.45,81.67,80.53,88,24.99,100
38,te anau,-45.41,167.72,32.65,20,2.39,94
39,hobyo,5.35,48.53,76.48,8,17.83,77
42,qaqortoq,60.72,-46.03,53.6,75,10.29,50
43,east london,-33.02,27.91,70.27,12,18.72,95
45,albany,42.65,-73.75,76.24,75,4.7,29
46,narsaq,60.91,-46.05,53.6,75,10.29,50
47,airai,-8.93,125.41,63.7,56,1.39,94
48,hithadhoo,-0.6,73.08,82.87,20,8.88,100
49,sabang,13.72,123.58,77.92,12,3.62,100
53,sao filipe,14.9,-24.5,74.95,36,14.58,93
54,gornorechenskiy,44.26,135.11,53.62,92,2.95,99
56,dinar,38.07,30.16,64.4,0,6.93,72
57,van,38.51,43.37,64.4,0,1.12,48
61,cape town,-33.93,18.42,53.6,20,6.93,81
63,esperance,10.24,-61.45,87.8,20,16.11,62
64,hambantota,6.12,81.12,78.82,88,16.04,100
66,fukue,35.03,136.69,77,75,5.82,88
67,rikitea,-23.12,-134.97,73.51,88,18.05,100
68,port blair,11.67,92.75,79.54,92,19.95,100
69,ambon,47.55,-2.56,77,0,9.17,57
70,sur,22.57,59.53,90.97,92,5.97,74
73,puerto ayora,-0.74,-90.35,82.4,40,12.75,58
75,luderitz,-26.65,15.16,53.62,0,12.91,90
77,goderich,43.74,-81.71,74.95,48,10.78,62
79,sobolevo,54.43,31.9,58.48,12,5.64,79
81,bowen,-20.01,148.25,66.2,90,6.93,93
83,kapaa,22.08,-159.32,81.25,40,17.22,66
84,san quintin,17.54,120.52,71.71,68,2.62,94
86,saint-philippe,45.36,-73.48,73.85,1,12.75,35
87,wuwei,37.93,102.64,59.65,44,7.43,80
88,rio gallegos,-51.62,-69.22,39.2,0,11.41,87
89,torbay,47.66,-52.73,39.2,90,9.17,100
94,butaritari,3.07,172.79,83.5,56,10.33,100
95,geraldton,49.72,-86.95,80.6,75,9.17,42
96,saint george,39.45,22.34,64.4,75,10.29,93
97,coquimbo,-29.95,-71.34,53.6,0,10.29,87
98,kodiak,39.95,-94.76,84.2,1,9.17,58
99,tessalit,20.2,1.01,93.85,68,6.64,17
100,batagay-alyta,67.8,130.41,43.45,36,7.76,84
101,gat,14.69,-16.54,79.54,0,9.66,76
103,isangel,-19.55,169.27,73.42,0,21.85,100
104,baiyin,36.55,104.13,66.2,0,4.47,68
105,lompoc,34.64,-120.46,70.39,1,10.29,44
106,talcahuano,-36.72,-73.12,57.2,90,12.75,93
108,longyearbyen,78.22,15.63,44.6,75,8.05,75
109,waingapu,-9.65,120.26,71.89,32,10,87
111,shimoda,34.7,138.93,73.96,32,22.86,93
112,sarangani,5.4,125.46,82.42,8,0.94,100
113,sint anthonis,51.63,5.88,64.4,90,5.82,72
114,galle,29.74,-97.91,95.32,40,14.99,47
115,brae,60.4,-1.35,53.37,88,5.82,82
117,atar,20.52,-13.05,95.74,0,9.22,16
119,poum,41.28,20.71,60.8,90,9.17,67
120,wairoa,-39.04,177.43,47.41,32,23.42,100
121,chillan,-36.61,-72.1,48.2,90,12.75,100
123,bathsheba,13.22,-59.52,86,40,20.8,62
126,hilo,19.71,-155.08,76.35,90,6.93,65
129,itapaci,-14.95,-49.55,77.29,0,4.41,37
132,mezen,65.85,44.24,56.68,0,2.17,82
133,hays,38.88,-99.33,85.95,1,4.7,58
136,husavik,50.56,-96.99,78.37,24,16.37,72
137,hamilton,32.3,-64.78,75.2,90,6.93,88
138,bambous virieux,-20.34,57.76,71.6,75,11.41,60
140,riviere-au-renard,49,-64.4,69.8,20,10.29,81
141,teya,21.05,-89.07,82.4,75,10.29,74
142,port hardy,50.7,-127.42,55.4,90,3.36,87
143,bluff,-23.58,149.07,60.82,100,11.23,92
145,tiksi,71.64,128.87,42.1,8,12.46,71
146,dourados,-22.22,-54.81,79.72,24,4.74,50
147,acapulco,16.86,-99.88,87.8,75,8.05,58
151,mareeba,-16.99,145.42,68,75,12.75,94
152,puerto escondido,15.86,-97.07,86,75,11.41,70
153,los llanos de aridane,28.66,-17.92,71.6,0,11.41,73
155,thompson,55.74,-97.86,71.98,36,10.67,67
156,antropovo,55.25,37.65,66.79,0,6.71,52
158,upington,-28.46,21.24,53.6,0,9.17,41
159,russell,-33.01,-68.8,60.8,0,6.93,38
160,carnarvon,-30.97,22.13,43.81,0,8.99,65
161,cherskiy,68.75,161.3,34.63,92,6.08,79
163,urusha,54.05,122.9,59.74,44,6.08,87
164,alofi,-19.06,-169.92,75.2,88,9.17,94
165,hofn,64.25,-15.21,47.41,88,16.37,92
170,ilulissat,69.22,-51.1,46.4,40,6.93,49
172,dakar,14.69,-17.45,82.4,0,6.93,74
180,rovenki,49.91,38.89,75.49,44,10.78,45
181,ponta pora,-22.54,-55.73,75.2,75,2.39,69
184,selenginsk,52.01,106.87,53.6,8,2.24,87
185,aginskoye,51.11,114.54,54.25,0,7.43,86
187,cabo san lucas,22.89,-109.91,87.03,5,11.41,54
190,bemidji,47.48,-94.89,74.3,90,8.05,60
191,prince rupert,54.32,-130.32,55.4,90,9.17,71
192,deputatskiy,69.3,139.9,42.82,0,8.77,57
193,barrow,-38.31,-60.23,55.15,24,8.43,41
